run_id,scenario,mode,seed,noise_std,risk_threshold,risk_threshold_low,cooldown_steps,reliability,delay_steps,risk_weights,risk_lookahead_steps,safe_speed_ratio,critical_sep_factor,trend_release_delta,violation_rate,collision_rate,near_miss_rate,intervention_rate,override_success_rate,mean_intervention_delay,operator_workload,mean_drift,p95_drift,mean_latency_ms,risk_mean,risk_p05,risk_p25,risk_p50,risk_p75,risk_p95,separation_risk_mean,congestion_risk_mean,speed_risk_mean,uncertainty_risk_mean,human_activation_count,cooldown_skips,suppressed_request_count,suppressed_critical_count,cooldown_release_count,critical_override_count,critical_trigger_rate,trigger_active_rate,confidence_mean,false_intervention_rate,repeated_intervention_rate,post_intervention_violation_rate,mean_drift_after_intervention,min_predicted_distance_mean
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed59,bottleneck,adaptive_hitl,59,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.06666666666666667,0.0,0.03333333333333333,0.7133333333333334,0.9065420560747663,0.0,0.7133333333333334,10.758786081923045,32.8111292893842,0.5164744813616077,0.7913073510048931,0.24599999999988809,0.4606053352989251,1.0,1.0,1.0,0.12776627135538676,0.04980631538591619,0.945019740262449,0.64,107,43,43,0,100,100,0.6666666666666666,1.0,0.9500000000000002,0.14018691588785046,0.9065420560747663,0.08064516129032258,13.558458250054866,3.6796913813261125
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed1059,bottleneck,adaptive_hitl,1059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.05333333333333334,0.0,0.2733333333333333,0.8733333333333333,0.9389312977099237,0.0,0.8733333333333333,14.997102360586794,32.191672070733816,0.6064530687096218,0.9387066804271925,0.5732818394642233,1.0,1.0,1.0,1.0,0.17795546258426753,0.13733753285180705,0.979713640535211,0.6395059469916106,131,19,19,0,128,128,0.8533333333333334,1.0,0.9500000000000002,0.061068702290076333,0.9618320610687023,0.057971014492753624,16.186704318211714,6.41665043712685
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed2059,bottleneck,adaptive_hitl,2059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.08,0.006666666666666667,0.20666666666666667,0.78,0.8974358974358975,0.0,0.78,6.019380781166092,21.970066692839698,0.509915294436117,0.8444879767737679,0.30025520739271305,1.0,1.0,1.0,1.0,0.4622211405993479,0.24276047142527507,0.591982289828018,0.6328107985847483,117,33,33,0,113,113,0.7533333333333333,1.0,0.9500000000000002,0.09401709401709402,0.9230769230769231,0.0916030534351145,6.7669157521418475,1.6939818492649175
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed3059,bottleneck,adaptive_hitl,3059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.07333333333333333,0.0,0.16666666666666666,0.7933333333333333,0.907563025210084,0.0,0.7933333333333333,15.369889095922927,37.56529661063056,0.5404605623334646,0.8671571728837506,0.42640738457231786,1.0,1.0,1.0,1.0,0.2650051724279896,0.1746256880126862,0.790819865784949,0.6352058273710635,119,31,31,0,113,113,0.7533333333333333,1.0,0.9500000000000002,0.09243697478991597,0.9327731092436975,0.08396946564885496,17.433650838188033,2.5089296493762525
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed4059,bottleneck,adaptive_hitl,4059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.1,0.0,0.30666666666666664,0.9133333333333333,0.8905109489051095,0.0,0.9133333333333333,10.562199637314441,29.692301064856903,0.6063119880855083,0.9597030136604475,0.6125667109606868,1.0,1.0,1.0,1.0,0.5593886593997333,0.3132237362831615,0.9647172415918068,0.6368372589625774,137,13,13,0,136,136,0.9066666666666666,1.0,0.9500000000000002,0.058394160583941604,0.9635036496350365,0.1048951048951049,10.96923126298898,1.4207267792836609
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed5059,bottleneck,adaptive_hitl,5059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.06,0.013333333333333334,0.16666666666666666,0.8533333333333334,0.9296875,0.0,0.8533333333333334,11.43194989277755,37.46014739175954,0.5190444442753991,0.9092178116796368,0.3454934336643492,1.0,1.0,1.0,1.0,0.15025255229323572,0.08779397453852512,0.8761421951289636,0.6303359521773554,128,20,20,0,126,126,0.84,0.98,0.9500000000000002,0.0703125,0.9609375,0.05925925925925926,12.46848750312365,4.919389100349057
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed6059,bottleneck,adaptive_hitl,6059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.04666666666666667,0.0,1.3533333333333333,0.8866666666666667,0.9473684210526315,0.0,0.8866666666666667,6.659215035030143,35.97797090459904,0.6499044775652388,0.9259759947731152,0.4191767835230164,1.0,1.0,1.0,1.0,0.7062721237948849,0.46394359065631186,0.626054001887344,0.6348081429327146,133,17,17,0,130,130,0.8666666666666667,1.0,0.9500000000000002,0.07518796992481203,0.9548872180451128,0.04964539007092199,7.2274484419732135,0.6892061575451491
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed7059,bottleneck,adaptive_hitl,7059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.03333333333333333,0.0,0.02666666666666667,0.7466666666666667,0.9553571428571429,0.0,0.7466666666666667,12.563899739500458,27.23663794125461,0.4740869634163876,0.8105854847566569,0.24034651338345533,0.5082734720098805,1.0,1.0,1.0,0.02613158983870442,0.02243042832100467,0.9615114825955667,0.64,112,10,10,0,111,111,0.74,0.7933333333333333,0.9500000000000002,0.05357142857142857,0.9732142857142857,0.043478260869565216,14.85719647378515,12.000021514339526
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed8059,bottleneck,adaptive_hitl,8059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.12666666666666668,0.0,0.0,0.86,0.8527131782945736,0.0,0.86,16.60946091792277,31.211919090720112,0.6363425411594411,0.8863403595105006,0.24599999999991762,1.0,1.0,1.0,1.0,0.0532665339958647,0.02170327544676225,0.9681778128260006,0.64,129,21,21,0,124,124,0.8266666666666667,1.0,0.9500000000000002,0.08527131782945736,0.9534883720930233,0.1386861313868613,18.183839980561178,6.639563589849902
hitl_bottleneck_adaptive_hitl_noise0.1_thr0.4_low0.2_cool5_rel0.95_delay0_seed9059,bottleneck,adaptive_hitl,9059,0.1,0.4,0.2,5,0.95,0,"{""separation"": 0.3, ""congestion"": 0.4, ""speed"": 0.15, ""uncertainty"": 0.15}",5,0.8,1.0,0.15,0.08,0.006666666666666667,0.86,0.9133333333333333,0.9124087591240876,0.0,0.9133333333333333,13.323296265426208,37.29356858005162,0.5359288677573204,0.9658132922057409,0.6768873933861665,1.0,1.0,1.0,1.0,0.5448324342963341,0.3311038063199927,0.7500125297105141,0.64,137,13,13,0,136,136,0.9066666666666666,1.0,0.9500000000000002,0.051094890510948905,0.9635036496350365,0.07692307692307693,14.067435695830373,1.4191847761821195
